,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
10492,0.66,37.87,38,0,15.34,289.0,3.63,4.58,1001.71,2.0,274.5,0.02,0.01,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10506,0.42,28.81,28,1,19.13,296.0,1.97,3.2,1006.23,1.0,284.1,0.03,0.02,2.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10507,0.23,30.52,29,1,19.33,311.0,2.0,3.68,1006.74,2.0,283.8,0.06,0.02,5.62,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10508,0.2,32.49,31,1,19.19,329.0,2.07,3.6,1006.95,5.0,283.2,0.06,0.02,9.23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10509,0.17,34.57,33,0,18.99,19.0,2.37,3.04,1006.82,7.0,282.1,0.03,0.01,12.18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10510,0.17,36.34,34,0,19.44,39.0,3.2,4.4,1006.63,10.0,281.7,0.01,0.01,14.05,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10511,0.15,37.41,35,0,19.82,29.0,3.69,5.82,1006.31,11.0,282.0,0.01,0.01,15.02,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10512,0.09,38.01,36,0,19.15,14.0,3.24,5.03,1005.79,11.0,282.1,0.02,0.01,14.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10513,0.12,38.18,36,0,18.36,354.0,2.77,4.15,1005.03,10.0,282.6,0.06,0.01,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10514,0.08,38.02,37,0,17.82,341.0,2.85,3.84,1004.09,7.0,283.6,0.09,0.01,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10515,0.0,37.68,36,0,17.47,338.0,3.36,4.09,1003.35,5.0,285.1,0.13,0.01,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10516,0.23,37.09,35,0,19.0,324.0,4.15,4.47,1003.84,2.0,284.6,0.29,0.03,4.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
